omega,valid_HR@5,valid_NDCG@5,valid_Precision@5,valid_MAP@5,valid_HR@10,valid_NDCG@10,valid_Precision@10,valid_MAP@10,valid_HR@15,valid_NDCG@15,valid_Precision@15,valid_MAP@15,valid_HR@20,valid_NDCG@20,valid_Precision@20,valid_MAP@20,test_HR@5,test_NDCG@5,test_Precision@5,test_MAP@5,test_HR@10,test_NDCG@10,test_Precision@10,test_MAP@10,test_HR@15,test_NDCG@15,test_Precision@15,test_MAP@15,test_HR@20,test_NDCG@20,test_Precision@20,test_MAP@20
0,0.025057587504916008,0.016187445700982215,0.005011517500983157,0.013283517800625453,0.04011461318051576,0.021022063771286195,0.004011461318051469,0.015258481616142162,0.053064778920164056,0.02444906958523511,0.00353765192801088,0.016278403413916627,0.06432945671105118,0.02710456552173546,0.0032164728355524364,0.016907716872020882,0.0183999101073094,0.011921779844598069,0.003679982021461911,0.009803453377530545,0.031574807573459186,0.01613976650366394,0.003157480757345859,0.011519552106101906,0.040957357154896346,0.018620853913123077,0.002730490476993078,0.012257009210489696,0.04907579077476263,0.02054283426832639,0.002453789538738052,0.0127166273128583
0.001,0.04474970503960897,0.029706381964280805,0.008949941007921526,0.024781354757758105,0.07006011573683915,0.03781069796490031,0.007006011573683637,0.02807969415082184,0.08851620877577392,0.042692324922939055,0.0059010805850514035,0.029531225932709418,0.10500589920782066,0.04658518426260452,0.005250294960391265,0.030456580752467478,0.030619697735827855,0.01980172824123688,0.006123939547165463,0.016256063074704542,0.04865441878757234,0.02558532434801371,0.004865441878757077,0.018614854410404735,0.06219450530928704,0.02917287235983387,0.004146300353952378,0.019684815125570236,0.07435811000618012,0.03203622668165125,0.0037179055003088895,0.020361407308203242
0.01,0.05233440080903422,0.03556421667018745,0.01046688016180649,0.030080341592224537,0.0784594640148323,0.04396351248827797,0.00784594640148309,0.033518224226971975,0.10014607562222597,0.049696982179580386,0.006676405041481496,0.035221382297060864,0.11579302207989213,0.05339178005247476,0.005789651103994961,0.036100176865108524,0.04014270464632844,0.026885151565797325,0.008028540929265474,0.022541060359196334,0.0618574077195348,0.03388123533872977,0.006185740771953249,0.025413334706693925,0.07621214674981741,0.037665999413005705,0.005080809783321016,0.026532077098822555,0.0887690319680881,0.04062650909544922,0.004438451598404452,0.02723389047976462
0.1,0.05210966908253273,0.036136608942630946,0.010421933816506194,0.030902953349439315,0.07447047586943087,0.04332775476084109,0.0074470475869428555,0.033848310097678073,0.09143772122029327,0.04780252427350961,0.006095848081352683,0.035171628612973745,0.10649474689589303,0.05135612125912517,0.0053247373447949,0.03601583127561162,0.04062025956514411,0.02840128393672518,0.0081240519130286,0.02438994700076796,0.05921680993314231,0.03438222039975402,0.005921680993314015,0.026839600851483594,0.07388055508736446,0.03826350427985401,0.004925370339157495,0.02799502725551958,0.08598797685263217,0.04111908243359294,0.004299398842631624,0.028672456045876253
0.2,0.05098601045002528,0.03515644270903255,0.010197202090004718,0.02995439818716428,0.0739929209506152,0.04255215204356422,0.007399292095061278,0.03298096379589723,0.0918029102758582,0.047248535968766735,0.006120194018390343,0.034369579300474365,0.10559581998988707,0.05050349288554034,0.005279790999494592,0.03514262066094915,0.04177200966346424,0.028759505607347212,0.008354401932692615,0.02449388542427493,0.059722456317770664,0.03454521311187737,0.005972245631776847,0.026870323105364483,0.07489184785662116,0.03855969436372365,0.004992789857107938,0.028065161751745487,0.08556660486544188,0.04108574376720231,0.004278330243272105,0.028668597505190886
0.3,0.048738693185010395,0.03420979589750816,0.009747738637001766,0.02943845159840462,0.0721950671386033,0.04177032895618183,0.007219506713860046,0.03254488837878353,0.08904994662621496,0.04622757516902442,0.005936663108414137,0.033869723720979496,0.10200011236586325,0.04928469606007008,0.00510000561829336,0.03459632489732665,0.04047980223608068,0.027909380161675802,0.008095960447215916,0.023786448676892086,0.05913253553570425,0.033911807417238295,0.00591325355357021,0.02624702698653489,0.0719984268779145,0.037296733796179996,0.004799895125194171,0.02724368048192439,0.08301028147648744,0.03989531796913852,0.004150514073824354,0.02786084053986832
0.4,0.04904769930894994,0.03425775932318379,0.009809539861789672,0.029402869075041888,0.07171751221978763,0.041563668757284795,0.007171751221978476,0.03240357269937587,0.08778583066464409,0.04580609521382033,0.005852388710976084,0.03366061528036931,0.10185965503679982,0.04913195942785113,0.005092982751840187,0.034452848731253705,0.04087308275745828,0.028139405987204266,0.008174616551491433,0.023961083956027595,0.05958199898870723,0.03415318074206907,0.005958199898870505,0.026421896361218836,0.07202651834372717,0.03743452319942687,0.004801767889581684,0.027391918155444336,0.0834878363953031,0.040144549415637235,0.0041743918197651424,0.02803822298837655
0.5,0.047418394291814145,0.03275270171960466,0.009483678858362531,0.027939771897297794,0.06969492668127424,0.03992165037173882,0.006969492668127147,0.030878774623507535,0.08579133659194337,0.044187649586833515,0.00571942243946271,0.032151631867205925,0.10067981347266701,0.04769881621623123,0.005033990673633533,0.03298442122433019,0.03744592392831058,0.02608068190869016,0.007489184785661932,0.02235893402251071,0.057025675599752794,0.03238396311787336,0.005702567559975076,0.024943538383197978,0.07073431091634362,0.03601698586766816,0.004715620727756118,0.026027558862971093,0.08163379965166583,0.03859020192677963,0.004081689982583257,0.026639253430058317
0.6,0.04941288836451486,0.03401556698998816,0.009882577672902652,0.028961364870685825,0.07107140850609585,0.040987702554739956,0.007107140850609301,0.031820373803771784,0.08787010506208214,0.04543541204492566,0.005858007004138621,0.03314520400101065,0.10317995392999607,0.049053283938896845,0.005158997696500014,0.03400688362366987,0.03974942412495084,0.02751001272698679,0.007949884824989957,0.023480251699533782,0.05747513905275577,0.03319959335001634,0.005747513905275371,0.02580322641632272,0.07121186583515927,0.03682184854357384,0.004747457722343826,0.026874127255469078,0.08247654362604641,0.039479579669461896,0.004123827181302296,0.02750508107350506
0.7,0.04733411989437609,0.03311880281779741,0.009466823978874921,0.028452909339476196,0.0699477498735884,0.04038545051466232,0.0069947749873585634,0.031425733298731794,0.08699926962188886,0.04488854277885377,0.00579995130812574,0.03276073601162102,0.10067981347266701,0.048115530535359864,0.005033990673633533,0.033526449504992686,0.038990954548008314,0.027061010066590264,0.007798190909601461,0.023147367829653438,0.05764368784763189,0.03304955253369616,0.005764368784762982,0.02559340992047887,0.07104331704028316,0.03658656451996975,0.004736221136018752,0.026641217385781797,0.08160570818585314,0.03907820982402882,0.004080285409292623,0.027232609297716252
