omega,valid_HR@5,valid_NDCG@5,valid_Precision@5,valid_MAP@5,valid_HR@10,valid_NDCG@10,valid_Precision@10,valid_MAP@10,valid_HR@15,valid_NDCG@15,valid_Precision@15,valid_MAP@15,valid_HR@20,valid_NDCG@20,valid_Precision@20,valid_MAP@20,test_HR@5,test_NDCG@5,test_Precision@5,test_MAP@5,test_HR@10,test_NDCG@10,test_Precision@10,test_MAP@10,test_HR@15,test_NDCG@15,test_Precision@15,test_MAP@15,test_HR@20,test_NDCG@20,test_Precision@20,test_MAP@20
1,0.00800606775661554,0.005362006539326926,0.0016012135513231156,0.004488548045770364,0.01283779987639755,0.006899334459079801,0.0012837799876397656,0.0051087897750631585,0.01747289173549076,0.008126029480834412,0.0011648594490327277,0.005473895575867599,0.022754087308275744,0.009364805902417169,0.0011377043654137828,0.0057642915868755945,0.0057306590257879654,0.0041625671674830255,0.0011461318051575943,0.00364018577822724,0.009242092252373728,0.005273857151426895,0.0009242092252373784,0.004084889288411954,0.012304062025956514,0.006086528756792828,0.0008202708017304319,0.004327857549246391,0.015787403786729593,0.0069019533354123565,0.000789370189336487,0.0045181952281855035
0.15,0.05160402269790438,0.03600606405811568,0.010320804539580529,0.03087860741240164,0.0746109331984943,0.04339585265393885,0.007461093319849202,0.033899811118334615,0.09188718467329625,0.04794696264898948,0.006125812311552879,0.035243100018508784,0.10671947862239452,0.05145784427490221,0.005335973931119977,0.03608232458736839,0.041912466992527674,0.029122983479072845,0.0083824933985053,0.024928834953274647,0.06137985280071914,0.03538276776306223,0.006137985280071686,0.02749113335241775,0.0758188662284398,0.039189394050600325,0.005054591081895844,0.02861626484582852,0.08809483678858362,0.042088330013892075,0.004404741839429221,0.029305785311461406
0.1,0.05320523624922748,0.03691416312119977,0.010641047249845133,0.03156638013371554,0.0788527445362099,0.04513308358491088,0.007885274453620859,0.03491532875487023,0.09758975223327153,0.05008596582088306,0.006505983482217877,0.03638626263773744,0.11194449126355413,0.05347950216048758,0.005597224563178017,0.0371953037383058,0.0418562840609023,0.029334942736111404,0.008371256812180225,0.025222858962114087,0.06255969436485195,0.03598360938660086,0.006255969436484961,0.027940095172102622,0.07834709815158154,0.040151306195579814,0.005223139876771951,0.02917500555078525,0.091999550536547,0.04337240621089433,0.004599977526827434,0.029939759349042163
0.3,0.04789594921062981,0.03359022863325684,0.00957918984212566,0.02888411333970092,0.07039721332659138,0.04080235762752848,0.0070397213326588584,0.031823004591839905,0.08809483678858362,0.04547436953227924,0.005872989119238719,0.033207129016584666,0.10185965503679982,0.04872487753176654,0.005092982751840187,0.03398025251584844,0.03938423506938592,0.027117688187021635,0.007876847013876977,0.023081352884993633,0.05573346817236923,0.032374043323066135,0.005573346817236727,0.025232913923289864,0.07036912186077869,0.03624156927387411,0.004691274790718457,0.026380978829150293,0.0823079948311703,0.039063060258427464,0.004115399741558488,0.027053132376580528
0.05,0.05708185853137817,0.03917236944603555,0.011416371706275226,0.03329353709009888,0.0827012753525479,0.04741386442486153,0.008270127535254745,0.03666954046820882,0.10247766728467891,0.05264048151976665,0.006831844485645017,0.0382213441900783,0.1198943760885443,0.056746276189124464,0.005994718804427616,0.03919442623631108,0.04733411989437609,0.03215918994364633,0.009466823978874921,0.02718457965803344,0.06966683521546155,0.039325194353162764,0.006966683521545879,0.03010917993431067,0.08581942805775605,0.04359542704404879,0.005721295203850223,0.03137763403017086,0.09989325242991179,0.046919996075411044,0.004994662621495763,0.03216896407516941
0.1,0.053064778920164056,0.03677816245724587,0.010612955784032449,0.03142639099574899,0.0784313725490196,0.04490236396130225,0.00784313725490182,0.03473377093594513,0.09775830102814764,0.05000591973745727,0.006517220068542951,0.03624665679907545,0.11214113152424293,0.05340335986463938,0.00560705657621246,0.037055247948189755,0.04202483285577841,0.029251697819103813,0.008404966571155446,0.025059460269303634,0.06314961514691837,0.036022087464071,0.006314961514691598,0.027818209423215397,0.0784594640148323,0.040064587072099624,0.005230630934322,0.029016313246466856,0.09202764200235969,0.04326436606374248,0.0046013821001180686,0.02977526369770148
0.3,0.04820495533456936,0.033667956807623425,0.009640991066913565,0.028883645148604052,0.07084667677959436,0.04094444585014262,0.0070846676779591534,0.03186015889959934,0.08781392213045677,0.045422053011718866,0.005854261475363596,0.03318582117671967,0.10160683184448564,0.04867331784969492,0.0050803415922244756,0.03395623784051133,0.039187594808697115,0.026956636871419453,0.00783751896173922,0.02293434088057389,0.05578965110399461,0.032255081930697926,0.005578965110399264,0.02507998264571674,0.06977920107871229,0.03593608014873499,0.004651946738580699,0.026163999851426287,0.08199898870723074,0.038822710499440576,0.0040999494353615076,0.02685104661079683
0.15,0.05182875442440586,0.03551055978065063,0.010365750884880825,0.030151506638949974,0.0750042137198719,0.04300496554247989,0.007500421371986972,0.0332445330886254,0.09278611157930221,0.047706160381291,0.006185740771953273,0.034641106438679375,0.10688802741727063,0.05103998762709583,0.0053444013708637845,0.03543592629507624,0.04180010112927693,0.028857641633711302,0.008360020225855152,0.02460344214094437,0.06137985280071914,0.03515394782637569,0.006137985280071686,0.027181079372213757,0.0770267992583853,0.03926844012101623,0.0051351199505588726,0.028391399662257774,0.0897522332715321,0.04226874478174613,0.004487611663576664,0.029102707320860947
0.05,0.056520029215124445,0.03894027737171407,0.011304005843024488,0.03315682528981047,0.08284173268161132,0.04742065262082711,0.008284173268161093,0.03663836117063815,0.1028990392718692,0.05270895026000727,0.006859935951457702,0.03820176256127704,0.12000674195179505,0.05674399993205572,0.006000337097590154,0.03915907577192108,0.04727793696275072,0.03222622569798818,0.009455587392549846,0.027285708934959116,0.06980729254452497,0.03945164138206304,0.006980729254452221,0.030232737794258217,0.08584751952356874,0.04369118594228509,0.005723167968237735,0.031491454357205385,0.09955615484015956,0.046926140041288665,0.0049778077420081475,0.032259730701583805
0.1,0.05373897409966852,0.036874735182949314,0.010747794819933335,0.03135522594902355,0.07859992134389572,0.044841536574034675,0.007859992134389435,0.034601105644422675,0.09722456317770661,0.04976665562023856,0.006481637545180217,0.036064881021058336,0.11197258272936682,0.05325087129605528,0.005598629136468651,0.03689437105629917,0.04289566829597168,0.029873761553526768,0.008579133659194091,0.025596007266325972,0.06298106635204224,0.03630153208657166,0.006298106635203988,0.028209784391311516,0.0786561042755211,0.0404432175340408,0.005243740285034586,0.029438879097567996,0.09185909320748356,0.04356175589192663,0.00459295466037426,0.030180968508905847
